,Event ID,Recalling Firm,Substance Name,Product Description,Ingestion Route,Reason,Classification,Quantity,Voluntary/Mandated,Distribution,Initial Notification Method,Recall Begins,Recall End,Status,City,State,Postal Code,Country
10,71371,The Compounding Pharmacy of America,['na'],"HCG 1,100 IU/ml Injection, Multi-Dose Vial, Sterile, Refrigerate The Compounding Pharmacy of America, Knoxville, TN",na,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Class II,1558 ml total,Voluntary: Firm initiated,Nationwide,Telephone,6/2/2015,2/10/2016,Terminated,Knoxville,TN,37919-4068,United States
11,67022,West-Ward Pharmaceutical Corp.,['na'],"Carisoprodol Tablets, USP 350 mg, Rx Only, 1000 tablets.  Dist by: West-ward Pharmaceutical Corp. Eatontown, NJ 07724. Mfd by: Shasun Chemicals and Drugs Limited, Unit II, R. S. Na 32, 33, 743 PIMS Rd, Periyakalepet, Pondicherry. 605014 INDIA. NDC 0143-9749-10.",na,"Presence of Foreign Substance; heavy metals (chromium, titanium etc) and inactive components of the product were visually observed during routine stability testing",Class II,"20,534 bottles",Voluntary: Firm initiated,Nationwide,Letter,11/7/2013,8/14/2014,Terminated,Eatontown,NJ,07724-2209,United States
12,89450,CARDINAL HEALTHCARE,['ENOXAPARIN SODIUM'],"Enoxaparin Sodium Injection, USP, 150MG/ML Single-Dose Syringes with Automatic Safety Device, For Subcutaneous Injection, Ten 1 mL Syringes per box, Rx Only, Sandoz Inc, Princeton, NJ 08540.  NDC: 0781-3299-69",SUBCUTANEOUS,CGMP Deviations,Class II,2 units,Voluntary: Firm initiated,Nationwide USA,Letter,1/26/2022,,Completed,Dublin,OH,43017-1094,United States
13,80719,Westminster Pharmaceuticals LLC,['na'],"Levothyroxine and Liothyronine (Thyroid Tablets, USP), 1 grain (60 mg), 100-count bottles, Rx Only, Manufactured for: Westminster Pharmaceuticals, LLC, 154 Downing Street, Unit 1 & 2, Olive Branch, MS 38654, NDC 69367-156-04.",na,Failed Content Uniformity Specifications,Class I,Unknown,Voluntary: Firm initiated,Nationwide in the USA and Puerto Rico,Letter,8/3/2018,6/3/2020,Terminated,Olive Branch,MS,38654,United States
14,78553,"KRS Global Biotechnology, Inc",['na'],"Human Chorionic Gonadotropin 6,000 iu/Vial, For SC Use -Lyophilized, Rx Only, KRS Global Biotechnology, 791 Park of Commerce Blvd, Boca Raton, FL 33487.",na,Labeling,Class II,"2,239 vials",Voluntary: Firm initiated,"Nationwide in the USA, Bermuda, and New Zealand",Letter,11/16/2017,5/11/2020,Terminated,Boca Raton,FL,33487-3633,United States
15,91466,Sentara Infusion Services,['na'],"HYDROMORPHONE (a) 1MG/ML IN NS,  50ML, 75 ML, 100ML, 175ML(NDC 00703-0018-01 and NDC 00409-2634-50) ; (b) 5MG/ML IN NS 60ML, 100ML, 250ML; pain, Rx only, used with a Curlin pump or no pump, Sentara Home Infusion Pharmacy Services, 535 Independence Pkwy, Ste 300, Chesapeake, VA 23320, NDC# 00409-2634-50",na,Lack of Assurance of Sterility,Class II,37 bags,Voluntary: Firm initiated,Dispensed to Patients Nationwide.,Telephone,12/27/2022,,Completed,Chesapeake,VA,23320-5176,United States
16,71371,The Compounding Pharmacy of America,['na'],"Testosterone 20 mg, Sterile Pellet, The Compounding Pharmacy of America, Knoxville, TN",na,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Class II,24 pellets,Voluntary: Firm initiated,Nationwide,Telephone,6/2/2015,2/10/2016,Terminated,Knoxville,TN,37919-4068,United States
17,65707,"Aidapak Services, LLC",['na'],"FAMOTIDINE Tablet, 20 mg, Over The Counter, Distributed by: AidaPak Service, LLC, NDC 16714036104",na,Labeling,Class II,700 Tablets,Voluntary: Firm initiated,"Repacked drugs were distributed in Arizona, California, Oregon, and Washington.",Telephone,7/2/2013,2/7/2014,Terminated,Vancouver,WA,98684-3501,United States
18,78991,Flawless Beauty LLC,['na'],Ling Zhi capsules,na,Marketed Without An Approved NDA/ANDA,Class II,,Voluntary: Firm initiated,Product was distributed U.S.A. nationwide.,Press Release,1/19/2018,9/13/2018,Terminated,Asbury Park,NJ,07712-5940,United States
19,92054,Direct Rx,['ALPRAZOLAM'],"Alprazolam C-IV, 1 mg, packaged in a) 30 Tabs per bottle, NDC 72189-213-30; b) 60 Tabs per bottle, NDC 72189-213-60; Rx only, Packaged and Distributed By: Direct Rx Dawsonville, GA 30534.",ORAL,CGMP Deviations,Class II,349 bottles,Voluntary: Firm initiated,Nationwide in the USA,Letter,3/22/2023,,Ongoing,Dawsonville,GA,30534-6828,United States
20,85386,"Amneal Pharmaceuticals of New York, LLC",['na'],"Nizatidine Oral Solution, 15 mg/mL (75 mg/5mL) USP 480 mL bottles, Rx Only Distributed by: Gemini Laboratories, LLC Bridgewater, NJ 08807 NDC 60846-301-15",na,CGMP Deviations,Class II,11258 bottles,Voluntary: Firm initiated,Nationwide,Press Release,4/15/2020,9/8/2021,Terminated,Brookhaven,NY,11719-9509,United States
21,65422,Novartis Consumer Health,['na'],"Excedrin Migraine (Acetaminophen 250 mg, Aspirin (NSAID) 250 mg and Caffeine 65 mg), a) 2-count tablets packaged in pouches, Distributed by Novartis Consumer Health, Inc., Parsippany, NJ, NDC 0067 203 702     Foreign packaging: b) Excedrin Migrana (Acetaminophen 250 mg, Aspirin 250 mg and 65 mg Caffeine) 2-ct pouches.  The foreign packaging do not have NDC numbers",na,Defective container,Class II,"10,624,000 pouches",Voluntary: Firm initiated,"Nationwide, Puerto Rico, Brazil and Panama",Letter,6/6/2013,11/4/2014,Terminated,Lincoln,NE,68517-9626,United States
22,70452,Attix Pharmaceuticals,['na'],"Homatropine Methylbromide active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",na,Penicillin Cross Contamination,Class II,940 grams,Voluntary: Firm initiated,Nationwide to compounding pharmacies and research organizations.,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",11/14/2014,10/7/2015,Terminated,Toronto,,,Canada
23,86270,SG24 LLC,['na'],"SkinGuard 24 All-Day Hand Sanitizer 8 oz. bottle with foam pump, Dist by: SG24 LLC, Bolingbroke, GA 31004  UPC 793573147125",na,Marketed Without An Approved NDA/ANDA; product labeled to contain 0.56% methanol making it an unapproved new drug,Class I,9600 bottles,Voluntary: Firm initiated,Nationwide,Press Release,8/14/2020,6/5/2023,Terminated,Bolingbroke,GA,31004,United States
24,82941,"Pharm D Solutions, LLC",['na'],"Human Chorionic Gonadotropin 5,000 IU vials, Rx only, Pharm D. Solutions 1304 South Loop West, Houston, TX 77054, 1-844-263-6846",na,Lack of Assurance of Sterility.,Class II,279 vials,FDA Mandated,Nationwide within the United States,Press Release,5/23/2019,2/5/2021,Terminated,Houston,TX,77054-4010,United States
25,90982,"Pharmacy Plus, Inc. dba Vital Care Compounder",['na'],"MEDROXYPROGESTERONE ACETATE 300 MG/ML Suspension, 10 mL vial, Rx only, Vital Care Compounder, 115 S. 40th Ave., Hattiesburg, MS  39402",na,Lack of Assurance of Sterility,Class II,40 vials,Voluntary: Firm initiated,"AL, LA, MS, and TN",Telephone,10/7/2022,,Ongoing,Hattiesburg,MS,39402-6600,United States
26,91719,"Ecometics, Inc.",['na'],"Unguentine Original Maximum Strength Pain Relieving/Antiseptic Ointment (Camphor 3.0%, Phenol 2.5%, Tannic Acid 2.2%, Oxide 6.6%), packaged in 1 oz. (28.3g) metal tubes, Distributed by: Oakhurst Company Levittown, NY 11756",na,CGMP DEVIATIONS,Class II,,Voluntary: Firm initiated,Nationwide within the United States,Letter,2/24/2023,6/21/2023,Terminated,Norwalk,CT,06854-3706,United States
27,93867,"Teva Pharmaceuticals USA, Inc",['na'],"Nortrel (norethindrone and ethinyl estradiol tablets USP) 0.5/35, packaged in cartons, each carton contains 3 blister cards, each card contains 28 tablets, Rx only, TEVA PHARMACEUTICALS USA, INC., North Wales, PA 19454, NDC 0555-9008-67",na,Discoloration,Class III,"12,916 cartons",Voluntary: Firm initiated,nationwide,Letter,1/25/2024,,Ongoing,Parsippany,NJ,07054-1120,United States
28,70452,Attix Pharmaceuticals,['na'],"Methyl Folate Calcium active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",na,Penicillin Cross Contamination,Class II,5 grams,Voluntary: Firm initiated,Nationwide to compounding pharmacies and research organizations.,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",11/14/2014,10/7/2015,Terminated,Toronto,,,Canada
29,84978,"Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceutical",['na'],"Polyoxyl Lauryl Ether (Polidocanol) Injection, LAURETH-9 (POLIDOCANOL) 5% INJECTABLE, For IV Use, 30 mL Multi-dose Vial, Rx only, Axia Pharmaceutical 1990 Westwood Blvd. Ste 135, Los Angeles, CA 90025; NDC 71283-060-3",na,Lack of Assurance of Sterility,Class II,,Voluntary: Firm initiated,"U.S.A. Nationwide and Puerto Rico, Barbados and Dominican Republic",Press Release,1/15/2020,12/7/2023,Terminated,Los Angeles,CA,90025-4650,United States
30,83050,Teva Pharmaceuticals USA,['na'],"LOSARTAN POTASSIUM 50 mg TABLET BULK  90 count bottles and 1000 count bottles, NDC 00591-3746-00",na,CGMP Deviations,Class II,"2,924,000 tablets",Voluntary: Firm initiated,Nationwide by 4 major distributors.,E-Mail,6/6/2019,,Ongoing,Parsippany,NJ,07054-1120,United States
31,78553,"KRS Global Biotechnology, Inc",['na'],"Benzocaine 20%, Lidocaine 6%, Tetracaine 4% Cream packaged in jars, Rx Only, KRS Global Biotechnology, 791 Park of Commerce Blvd, Boca Raton, FL 33487.",na,Labeling,Class II,"4,530 jars",Voluntary: Firm initiated,"Nationwide in the USA, Bermuda, and New Zealand",Letter,11/16/2017,5/11/2020,Terminated,Boca Raton,FL,33487-3633,United States
32,94023,MCKESSON CORPORATION,"['ADAPALENE', 'BENZOYL PEROXIDE', 'CLINDAMYCIN PHOSPHATE']","CABTREO (clindamycin phosphate, adapalene and benzoyl peroxide) Topical Gel 1.2%/0.15%/3.1%, Not for Oral, Ophthalmic or Intravaginal Use, Rx Only, Net Wt. 50g, Distributed by Bausch Health US, LLC Bridgewater, NJ 08807 USA, Manufactured by: Bausch Health Companies, Inc. Laval Quebec H7L 448, Canada, NDC 0187-0006-25.",TOPICAL,CGMP Deviations,Class II,42 units,Voluntary: Firm initiated,Nationwide in the US,E-Mail,2/12/2024,,Ongoing,IRVING,TX,75039,United States
33,78828,"Pharmedium Services, LLC",['na'],"Glycopyrrolate in all strengths, all doses, and all packaging.",na,Lack of Assurance of Sterility.,Class II,Unknown,Voluntary: Firm initiated,U.S.A. Nationwide,Press Release,12/27/2017,5/7/2020,Terminated,Lake Forest,IL,60045-2506,United States
34,77770,SCA Pharmaceuticals,['na'],"PHENYLephrine 40 mg in 0.9% Sodium Chloride 250 mL, Rx only, SCA Pharmaceuticals 8821 Knoedl Ct Little Rock, AR 72205 --- NDC# 70004-0812-40",na,Lack of Assurance of Sterility; product has the potential to leak.,Class II,,Voluntary: Firm initiated,Nationwide,Letter,7/14/2017,5/1/2019,Terminated,Little Rock,AR,72205-4600,United States
35,87512,Cardinal Health Inc.,"['DAPAGLIFLOZIN PROPANEDIOL', 'METFORMIN HYDROCHLORIDE']","xigduo XR (dapgliflozin/metformin HCl extended-release) tablets 10 mg/1000 mg 30 Tablets Rx only NDC 0310-6280-30 Manufactured for: AstraZeneca Pharmaceuticals LP Wilmington, DE 19850  Manufactured by: Bristol-Myers Squibb Manufacturing Company Humacao, Puerto Rico 00791",ORAL,CGMP Deviations,Class II,664 bottles,Voluntary: Firm initiated,"FL, GA, SC",Letter,3/15/2021,,Completed,Dublin,OH,43017-1091,United States
36,83265,"Altaire Pharmaceuticals, Inc.",['na'],"CVS Health Redness Relief Lubricant Redness Reliever Eye Drops, Sterile, 1 fl. oz., (30 mL), Distributed by: CVS Pharmacy Inc., One CVS Drive, Woonsocket, RI 02895",na,Lack of Assurance of Sterility,Class II,,Voluntary: Firm initiated,U.S.A. Nationwide,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",7/2/2019,,Ongoing,Aquebogue,NY,11931-0849,United States
37,89334,"ULTRAtab Laboratories, Inc.",['na'],"APAP 500 mg tablet (Acetaminophen 500 mg) Bulk Container, ULTRAtab Laboratories, Inc., Highland, NY NDC 62959-210-00",na,CGMP Deviations,Class II,"6,249,082 tablets",Voluntary: Firm initiated,Bulk product was distributed to 3 distributors who may have distributed finished product.,Letter,1/26/2022,,Completed,Highland,NY,12528-1506,United States
38,64661,Clinical Specialties Compounding Pharmacy,['na'],"Progesterone 50 mg/ml, Clinical Specialties Compounding Pharmacy, 318 Baston Road, Augusta, GA 30907",na,Lack of Assurance of Sterility,Class II,637ml total,Voluntary: Firm initiated,"FL, GA and SC.",Telephone,3/20/2013,2/22/2017,Terminated,Augusta,GA,30907,United States
39,87489,Cardinal Health Inc.,['GUSELKUMAB'],"Tremfya (guselkumab) Injection, 100 mg/mL, one single-dose prefilled syringe per carton, Rx only, Manufactured by: Janssen Biotech, Inc., Horsham, PA  19044; NDC 57894-640-01.",SUBCUTANEOUS,Temperature Abuse,Class III,48 boxes,Voluntary: Firm initiated,"AL, LA, MS, TN",Letter,3/9/2021,11/4/2021,Terminated,Dublin,OH,43017-1091,United States
40,80601,King Bio Inc.,['na'],"Dr. King's Natural Medicine Homeopathic Hydration, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955024224, NDC 57955-0242-2",na,Microbial Contamination,Class I,38 bottles,Voluntary: Firm initiated,"U.S.A. Nationwide, Canada, and Australia.",Press Release,7/20/2018,1/19/2022,Terminated,Asheville,NC,28806-2846,United States
41,71634,American Health Packaging,['na'],"Desmopressin Acetate Tablets, 0.1 mg Tablets, Rx Only, Packed in 30 Tablet (3 x 10) Cartons.  Packaged and Distributed by: American Health Packaging Columbus, Ohio 43217. NDC: 68084-606-21.",na,Tablets/Capsules Imprinted with Wrong ID,Class III,341 Cartons,Voluntary: Firm initiated,U.S. Nationwide,Letter,6/26/2015,8/15/2018,Terminated,Columbus,OH,43217-1188,United States
42,79748,"Kroger Specialty Pharmacy, Inc.",['na'],Zarxio 300 mcg/0.5 mL PFS NDC 14 days supply,na,Lack of Processing Controls,Class II,Unknown,Voluntary: Firm initiated,"MS, LA, AR, IL, FL",Letter,4/3/2018,5/7/2020,Terminated,Vicksburg,MS,39180-7153,United States
43,82581,LUPIN SOMERSET,['MORPHINE SULFATE'],"Morphine Sulfate Extended-Release Tablets, 60 mg, 100-count bottles, Rx Only, Manufactured by: Novel Laboratories, Inc. Somerset, NJ 08873 Manufactured for: Lupin Pharmaceuticals, Inc. Baltimore, MD 21202  NDC 43386-542-01",ORAL,Failed Impurities/Degradation Specifications,Class III,"10,284 bottles",Voluntary: Firm initiated,Product was shipped to 5 wholesalers and one Supermarket Chain who may have further distributed the product throughout the United States.,Letter,4/10/2019,10/14/2022,Terminated,Somerset,NJ,08873-1145,United States
44,90566,"Family Dollar Stores, Llc.",['na'],QP COUGH COLD TABLET 16 CT distributed to specific Family Dollar Stores 04/30/2022 through 06/10/2022.,na,CGMP Deviations,Class II,Unknown,Voluntary: Firm initiated,Nationwide within the United States,Other,6/23/2022,,Ongoing,Chesapeake,VA,23320-1604,United States
45,64188,"TG United, Inc.",['na'],"AMBI 2CPM/15DM/5PEH, Antihistamine,  Nasal Decongestant,  Fruit Candy Flavor, 16 fl oz. bottle, OTC, Manufactured for: AMBI Pharmaceuticals, Brooksville, FL 34604, NDC 66870-0228-16.",na,CGMP Deviations,Class II,355 - 16 ounce bottles,Voluntary: Firm initiated,"FL, MS, SC, LA  and TX",Letter,1/30/2013,9/30/2016,Terminated,Brooksville,FL,34604-6805,United States
46,71726,"KVK-Tech, Inc.",['na'],"Phentermine Hydrochloride Capsules, USP, 15 mg, packaged in a) 100-count bottle (NDC 10702-0026-01; UPC 3 10702 02601 8) and b) 1000-count bottle (NDC 10702-0026-10; UPC 3 10702 02601 0); Rx only, Mfd. by KVK-TECH, Inc., Newtown, PA",na,Failed Impurities/Degradation Specifications,Class III,"9,696 bottles (100-count), 972 bottles (1000-count)",Voluntary: Firm initiated,Nationwide,Letter,7/14/2015,1/13/2017,Terminated,Newtown,PA,18940-3427,United States
47,79619,Partell Specialty Pharmacy,['na'],"Testosterone 40 mg pellet packaged in amber vial,   Rx only, Partell Specialty Pharmacy, 5835 S. Eastern Ave.   #101, Las Vegas, NV 89119 (702) 791-3800",na,Lack of Assurance of Sterility,Class II,,Voluntary: Firm initiated,NV only,Letter,3/22/2018,1/15/2019,Terminated,Las Vegas,NV,89119-3031,United States
48,82538,Lohxa LLC,['na'],"Bismuth Subsalicylate Oral Suspension 262mg/15mL, unit dose cups, OTC, Rpkg. By.: Lohxa Worcester, MA, NDC 70166-059-01",na,Labeling,Class II,5 boxes  - 250 unit dose cups.,Voluntary: Firm initiated,"MA, NY and WY",Letter,3/25/2019,6/20/2023,Terminated,Worcester,MA,01608-2061,United States
49,74466,"Medaus, Inc.",['na'],"M.I.C B-COMPLEX PREMIX W/HYDROXY B12  W/PRES. (BENZALKONIUM 0.01%)  HYDROXY B12 1MG; B1 0.833MG; B2 0.083MG; B3 0.833MG,  B5 0.083MG, B6 0.083MG, CYANO B12 1.66MCG,  METHIONINE 0.208MG, INOSITOL 0.416MG, CHOLINE CL 1.66MG/ML, 10ML Vials, MEDAUS PHARMACY",na,Lack of Assurance of Sterility,Class II,110 mL in Vials,Voluntary: Firm initiated,"U.S. Nationwide, Japan, and New Zealand.",E-Mail,5/13/2016,6/16/2017,Terminated,Birmingham,AL,35242-9609,United States
50,83136,"Infusion Options, Inc.",['na'],"INJECTAFER 720 MG in 100 ml NS IVPB; INJECTAFER 210 MG in 100 ml NS IVPB, Rx Only, Infusion Options, Inc. 5924 13the Ave, Brooklyn, NY 11219-4934, 718-283-7233",na,Lack of Assurance of Sterility,Class II,,Voluntary: Firm initiated,NY only,Letter,6/12/2019,,Ongoing,Brooklyn,NY,11219-4934,United States
51,87512,Cardinal Health Inc.,['BUPRENORPHINE HYDROCHLORIDE'],"Belbuca (buprenorphine hydrochloride) buccal film 300 mcg 60 pouches containing 1 buccal film each Rx only NDC 59385-023-60 Manufactured for: BioDelivery Sciences International, Inc. Raleigh, NC 27612.",BUCCAL,CGMP Deviations,Class II,96 cartons,Voluntary: Firm initiated,"FL, GA, SC",Letter,3/15/2021,,Completed,Dublin,OH,43017-1091,United States
52,79149,American Pharmaceutical Ingredients LLC,['na'],"Nifedipine USP  for prescription compounding, packaged in a) 5g (NDC 58597-8025-2); b) 25g (NDC 58597-8025-4); c) 100g (NDC 58597-8025-6); d) 500g (NDC 58597-8025-7), RX only, packed by American Pharmaceutical Ingredients, LLC 6650 Highland Road, Waterford, MI 48327",na,CGMP Deviations,Class II,44500 g,Voluntary: Firm initiated,Nationwide within USA.,Letter,2/9/2018,12/2/2019,Terminated,Waterford,MI,48327-1665,United States
53,65690,"Aidapak Services, LLC",['na'],"FLUCONAZOLE, Tablet, 200 mg, Rx only, Distributed by: AidaPak Service, LLC, NDC 00172541360.",na,Labeling,Class II,200 Tablets,Voluntary: Firm initiated,"Repacked drugs were distributed in Arizona, California, Oregon, and Washington.",Telephone,7/2/2013,2/7/2014,Terminated,Vancouver,WA,98684-3501,United States
54,81888,Lupin Pharmaceuticals Inc.,['CEFDINIR'],"Cefdinir for Oral Suspension USP, 125mg/5mL, packaged in a) 60mL (NDC 68180-722-20), b)100mL (NDC 68180-722-10), Rx Only, Manufactured for: Lupin Pharmaceuticals Inc. Baltimore, MD 21202; Manufactured by: Lupin Limited Mandideep 462 046 INDIA",ORAL,CGMP Deviations,Class II,"287,784 bottles",Voluntary: Firm initiated,Nationwide within the United States,Letter,1/2/2019,6/26/2020,Terminated,Baltimore,MD,21202-6174,United States
55,65300,"Hospira, Inc.",['ONDANSETRON HYDROCHLORIDE'],"Ondansetron Injection, USP, 4mg/2mL, (2mg/ml), 2mL single-dose Fliptop Vial, Rx only, Sterile, NDC 0409-4755-03, Hospira, Inc, Lake Forest, IL 60045.",INTRAMUSCULAR,Presence of Particulate; lot being recalled as a precaution due to the discovery of 2 particles found in a lot which preceded the recalled lot,Class II,"340,600 vials",Voluntary: Firm initiated,Nationwide,Letter,5/20/2013,10/28/2014,Terminated,Lake Forest,IL,60045,United States
56,76561,Advanced Pharma Inc.,['na'],"Succinylcholine Chloride all strengths, all dosage forms and all packaging, Rx  Only, Avella of Houston, Houston, TX 77054",na,Labeling,Class II,,Voluntary: Firm initiated,U.S. Nationwide,E-Mail,2/22/2017,10/18/2017,Terminated,Houston,TX,77054-2520,United States
57,65479,"Main Street Family Pharmacy, LLC",['na'],"Mic Ultra-Sulfur Free 30ml, Main Street Compounding Pharmacy, 126 East Main Street, Newbern, TN 38059, 888-658-6200",na,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Class II,115 units,Voluntary: Firm initiated,"nationwide, specifically:  AK, AL, AZ, CA, CO, CT, DC, FL, GA, HI, IL, IN, KS, KY, LA, MA, MD, MN, MO, MS, NC,   NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI, and WV",Telephone,5/28/2013,4/22/2014,Terminated,Newbern,TN,38059,United States
58,71535,the Compounder,['na'],"BIEST TD 80/20 (Estradiol (E2) Trit (Yellow)/Estriol USP Micronized (E3) : PROG (Progesterone USP Micronized)  : TESTO (Testosterone USP) : DHEA  (Dehydroepiandrosterone Micronized) W/V (weight/volume) VERSABASE 2.5 : 17.5 : 1.25 :0.25MG/ML Transdermal cream, dispensed in 10 mL prefilled, amber syringes, Rx only,The Compounder, 340 Marshall Avenue Unit 100, Aurora, IL 60506.",na,Recalled products were made using an active ingredient that was recalled by a supplier due to penicillin Cross Contamination.,Class II,12 (10mL) syringes,Voluntary: Firm initiated,Nationwide,Telephone,3/10/2015,5/19/2016,Terminated,Aurora,IL,60506-5649,United States
59,92737,SCA Pharmaceuticals,['na'],"FentaNYL 500 mcg/250 mL - Bupivacaine HCl 0.1% in 0.9% Sodium Chloride 250mL Bag, Injection for Epidural Use (fentaNYL Concentration - 2 mcg/mL), Rx Only, Single Dose Container, SCA Pharmaceuticals, 755 Rainbow Rd, Windsor, CT 06095, NDC# 70004-0253-40",na,CGMP Deviations,Class II,183 bags,Voluntary: Firm initiated,KY and NJ,Letter,7/20/2023,9/21/2023,Terminated,Windsor,CT,06095-1024,United States
